bowler,total_balls,total_runs,total_wickets,boundaries_conceded,dots,economy,dot_pct,wicket_rate
A Daxini,11,24,0,3,2,13.090909090909092,0.18181818181818182,0.0
A Dcosta,555,504,34,47,268,5.448648648648649,0.4828828828828829,0.06126126126126126
A Dennison,1,0,0,0,1,0.0,1.0,0.0
A Denuwan,40,51,1,4,10,7.6499999999999995,0.25,0.025
A Dercksen,686,729,25,90,336,6.376093294460642,0.4897959183673469,0.03644314868804665
A Desai,73,85,6,7,26,6.986301369863014,0.3561643835616438,0.0821917808219178
A Dhabe,249,266,14,28,97,6.409638554216867,0.3895582329317269,0.05622489959839357
A Dhar,18,31,0,4,7,10.333333333333334,0.3888888888888889,0.0
A Dhingra,255,343,17,39,81,8.070588235294117,0.3176470588235294,0.06666666666666667
A Dilhara,6,5,0,1,4,5.0,0.6666666666666666,0.0
A Dineshi,15,20,0,0,10,8.0,0.6666666666666666,0.0
A Dirannehelage,319,152,16,3,234,2.858934169278997,0.7335423197492164,0.050156739811912224
A Dizija,67,129,3,19,23,11.55223880597015,0.34328358208955223,0.04477611940298507
A Djorovic,81,149,1,19,28,11.037037037037036,0.345679012345679,0.012345679012345678
A Doddaballapur,468,313,40,21,260,4.012820512820513,0.5555555555555556,0.08547008547008547
A Donovan,128,149,3,18,58,6.984375,0.453125,0.0234375
A Dulara,12,9,0,1,6,4.5,0.5,0.0
A Dutt,3064,2671,95,298,1635,5.23041775456919,0.5336161879895561,0.03100522193211488
A Edwards,156,87,5,9,114,3.3461538461538463,0.7307692307692307,0.03205128205128205
A Emch,9,13,0,1,4,8.666666666666666,0.4444444444444444,0.0
A Esterhuysen,255,259,7,31,124,6.094117647058823,0.48627450980392156,0.027450980392156862
A Fillie,237,181,16,13,148,4.582278481012659,0.6244725738396625,0.06751054852320675
A Flintoff,4049,2951,140,304,2428,4.372931588046431,0.5996542356137318,0.034576438626821436
A Fujikawa,387,334,20,27,184,5.178294573643411,0.4754521963824289,0.05167958656330749
A Galan,290,212,19,10,139,4.386206896551724,0.4793103448275862,0.06551724137931035
A Gardner,5374,4440,222,453,2674,4.957201339784146,0.49758094529214736,0.041310011164867884
A Gbla,712,716,45,60,320,6.033707865168539,0.449438202247191,0.06320224719101124
A Gianani,17,9,0,0,13,3.176470588235294,0.7647058823529411,0.0
A Gisdaki,6,14,0,3,1,14.0,0.16666666666666666,0.0
A Glen,591,531,15,52,306,5.3908629441624365,0.5177664974619289,0.025380710659898477
A Goenka,97,99,2,9,40,6.123711340206185,0.41237113402061853,0.020618556701030927
A Gordon,253,192,9,21,157,4.553359683794467,0.6205533596837944,0.03557312252964427
A Griffiths,1404,1346,38,153,714,5.752136752136752,0.5085470085470085,0.027065527065527065
A Gulati,42,83,2,10,4,11.857142857142858,0.09523809523809523,0.047619047619047616
A Gunasekar,47,57,1,5,17,7.276595744680852,0.3617021276595745,0.02127659574468085
A Gupta,71,99,3,10,27,8.366197183098592,0.38028169014084506,0.04225352112676056
A Gurung,760,485,41,41,458,3.8289473684210527,0.6026315789473684,0.05394736842105263
A Harinath,18,16,0,1,8,5.333333333333333,0.4444444444444444,0.0
A Harrison,19,24,0,2,7,7.578947368421053,0.3684210526315789,0.0
A Hartley,2169,1509,63,164,1270,4.174273858921162,0.5855232826187183,0.029045643153526972
A Hepburn,114,80,7,9,65,4.2105263157894735,0.5701754385964912,0.06140350877192982
A Hewage,6,0,1,0,5,0.0,0.8333333333333334,0.16666666666666666
A Hlubi,643,709,19,104,334,6.615863141524105,0.5194401244167963,0.029548989113530325
A Hogg,12,13,0,1,5,6.5,0.4166666666666667,0.0
A Husain,286,301,16,24,109,6.314685314685315,0.3811188811188811,0.055944055944055944
A Hutchinson,76,40,3,3,49,3.1578947368421053,0.6447368421052632,0.039473684210526314
A Ikuzwe,964,727,64,65,519,4.524896265560166,0.5383817427385892,0.06639004149377593
A Ilahi,112,91,5,3,55,4.875,0.49107142857142855,0.044642857142857144
A Iopu,20,22,2,2,6,6.6,0.3,0.1
A Iqbal,45,35,0,4,27,4.666666666666667,0.6,0.0
A Javid,980,906,22,76,390,5.5469387755102035,0.3979591836734694,0.022448979591836733
A Johnson,54,50,1,6,24,5.555555555555555,0.4444444444444444,0.018518518518518517
A Joshi,43,65,0,6,18,9.069767441860465,0.4186046511627907,0.0
A Kalasi,227,182,12,11,95,4.81057268722467,0.4185022026431718,0.05286343612334802
A Kanada,22,28,3,3,11,7.636363636363637,0.5,0.13636363636363635
A Kanukuntla,204,184,6,17,109,5.411764705882353,0.5343137254901961,0.029411764705882353
A Kanwal,14,16,1,0,4,6.857142857142857,0.2857142857142857,0.07142857142857142
A Kapil,25,31,1,2,9,7.4399999999999995,0.36,0.04
A Karmacharya,308,226,22,21,162,4.402597402597403,0.525974025974026,0.07142857142857142
A Karn,97,95,5,10,44,5.876288659793814,0.4536082474226804,0.05154639175257732
A Karvelas,984,967,38,142,525,5.896341463414634,0.5335365853658537,0.03861788617886179
A Kato-Stafford,88,58,5,5,52,3.9545454545454546,0.5909090909090909,0.056818181818181816
A Kaul,67,63,4,5,25,5.64179104477612,0.373134328358209,0.05970149253731343
A Kayuni,12,12,0,0,8,6.0,0.6666666666666666,0.0
A Kennedy,18,25,0,4,6,8.333333333333334,0.3333333333333333,0.0
A Khaka,6567,5307,221,597,3710,4.848789401553221,0.564945941830364,0.033653114055124105
A Khan,584,411,21,39,363,4.222602739726027,0.6215753424657534,0.03595890410958904
A Kheterpal,358,424,12,44,142,7.106145251396648,0.39664804469273746,0.0335195530726257
A Khullar,102,93,2,3,63,5.470588235294118,0.6176470588235294,0.0196078431372549
A Kind-David,53,51,0,5,29,5.773584905660377,0.5471698113207547,0.0
A King,2911,2276,134,219,1458,4.691171418756441,0.5008588114050154,0.046032291308828584
A Kirschbaum,618,571,33,55,301,5.543689320388349,0.48705501618122976,0.05339805825242718
A Kohli,700,630,39,56,344,5.3999999999999995,0.49142857142857144,0.055714285714285716
A Konhu,41,40,1,2,19,5.853658536585366,0.4634146341463415,0.024390243902439025
A Kontopirakis,49,43,1,2,27,5.26530612244898,0.5510204081632653,0.02040816326530612
A Koul,6,15,0,3,0,15.0,0.0,0.0
A Krishna,1150,1014,55,119,616,5.2904347826086955,0.5356521739130434,0.04782608695652174
A Kshirsagar,85,96,3,8,38,6.776470588235294,0.4470588235294118,0.03529411764705882
A Kumble,1524,1192,32,103,834,4.692913385826771,0.547244094488189,0.02099737532808399
A Kuthalingham,31,24,1,2,14,4.64516129032258,0.45161290322580644,0.03225806451612903
A Lazic,12,29,0,3,0,14.5,0.0,0.0
A Le Ray,28,20,1,0,13,4.285714285714286,0.4642857142857143,0.03571428571428571
A Leckey,25,37,0,7,15,8.879999999999999,0.6,0.0
A Lee,866,695,24,64,438,4.815242494226328,0.5057736720554272,0.02771362586605081
A Levaci,105,102,8,9,58,5.828571428571428,0.5523809523809524,0.0761904761904762
A Limdawala,314,379,13,46,138,7.242038216560509,0.4394904458598726,0.041401273885350316
A Lupascu,75,71,5,3,34,5.68,0.4533333333333333,0.06666666666666667
A Lyth,373,362,7,27,146,5.823056300268097,0.3914209115281501,0.01876675603217158
A Madushanka,146,175,5,23,82,7.191780821917809,0.5616438356164384,0.03424657534246575
A Magdalenic,38,83,0,9,15,13.105263157894738,0.39473684210526316,0.0
A Maheshwari,119,193,5,25,39,9.73109243697479,0.3277310924369748,0.04201680672268908
A Makesh,67,70,6,5,22,6.268656716417911,0.3283582089552239,0.08955223880597014
A Makri,573,499,29,40,333,5.225130890052356,0.581151832460733,0.0506108202443281
A Manousis,44,51,2,4,14,6.954545454545455,0.3181818181818182,0.045454545454545456
A Mansale,1105,919,31,98,611,4.990045248868778,0.5529411764705883,0.028054298642533938
A Mare,347,300,15,29,197,5.187319884726224,0.5677233429394812,0.043227665706051875
A Martel,343,398,16,38,113,6.962099125364432,0.3294460641399417,0.04664723032069971
A Martin,465,320,14,24,243,4.129032258064516,0.5225806451612903,0.030107526881720432
A Mazvishaya,1181,995,46,108,603,5.0550381033022855,0.5105842506350551,0.03895004233700254
A McGrath,216,163,3,12,121,4.527777777777778,0.5601851851851852,0.013888888888888888
A Mehmood,126,163,3,18,53,7.761904761904762,0.42063492063492064,0.023809523809523808
A Mene-Ejegi,367,356,16,40,215,5.820163487738419,0.5858310626702997,0.043596730245231606
A Merritt,410,426,20,45,184,6.234146341463415,0.44878048780487806,0.04878048780487805
A Mesarovic,170,129,7,7,104,4.552941176470588,0.611764705882353,0.041176470588235294
A Meyenborg,237,212,11,17,137,5.367088607594937,0.5780590717299579,0.046413502109704644
A Mishra,2039,1689,82,149,1035,4.970083374203041,0.5076017655713585,0.04021579205492889
A Mithun,188,210,3,30,103,6.702127659574469,0.5478723404255319,0.015957446808510637
A Mohamed,228,188,8,15,114,4.947368421052632,0.5,0.03508771929824561
A Mohammed,3285,2728,117,241,1520,4.982648401826484,0.4627092846270928,0.03561643835616438
A Mokgotlhe,788,638,30,56,475,4.8578680203045685,0.6027918781725888,0.03807106598984772
A Mongar,88,84,7,7,34,5.7272727272727275,0.38636363636363635,0.07954545454545454
A Morris,1043,935,41,102,543,5.378715244487056,0.5206136145733461,0.039309683604985615
A Mpeka,135,76,2,5,92,3.3777777777777778,0.6814814814814815,0.014814814814814815
A Munisar,500,418,12,41,247,5.016,0.494,0.024
A Muoki,8,4,0,0,7,3.0,0.875,0.0
A Mutreja,89,65,1,7,52,4.382022471910112,0.5842696629213483,0.011235955056179775
A Nagarajan,95,136,3,16,25,8.589473684210526,0.2631578947368421,0.031578947368421054
